"","x","y","BEN","CH4","H2S","TOL","VOC","XYM","XYP"
"51",-90.004255,35.071685,0,0,0,0,0,0,0
"52",-90.00436,35.071695,0,0,0,0,0,0,0
"53",-90.00449,35.071705,0,0,0,0,0,0,0
"54",-90.004565,35.071710098,0,0,0,0,0,0,0
"55",-90.004645,35.071715,0,0,0,0,0,0,0
"56",-90.00475,35.071725,0,0,0,0,0,0,0
"57",-90.004855,35.071730098,0,0,0,0,0,0,0
"58",-90.00497,35.071735,0,0,0,0,0,0,0
"59",-90.00512,35.071735,0,0,0,0,0,0,0
"60",-90.00524,35.071730098,0,0,0,0,0,0,0
"61",-90.00537,35.07172,0,0,0,0,0,0,0
"62",-90.005535,35.071705,0,0,0,0,0,0,0
"63",-90.005635,35.071695,0,0,0,0,0,0,0
"64",-90.005735,35.07168,0,0,0,0,0,0,0
"65",-90.005895,35.071655,0,0,0,0,0,0,0
"66",-90.006055,35.071625,0,0,0,0,0,0,0
"67",-90.006185,35.071595,0,0,0,0,0,15.7336666666667,0
"68",-90.00631,35.071565,0,0,0,0,0,15.7336666666667,0
"69",-90.0064,35.07154,0,0,0,0,0,15.7336666666667,0
"70",-90.006485,35.07151,0,0,0,0,0,0,0
"71",-90.00659,35.07147,0,0,0,0,0,0,0
"72",-90.00668,35.07143,0,0,0,0,0,0,0
"73",-90.006775,35.071385,0,0,0,0,0,0,0
"74",-90.00686,35.071345,0,0,0,0,0,0,0
"75",-90.006905,35.071325,0,0,0,0,0,0,0
"76",-90.00695,35.071305,0,0,0,0,0,0,0
"77",-90.007,35.07128,0,0,0,0,0,0,0
"78",-90.007045,35.071255,0,0,0,0,0,0,0
"79",-90.00709,35.07123,0,0,0,0,0,0,0
"80",-90.007125,35.071215,0,0,0,0,-5.288,0,0
"81",-90.007155,35.071205,0,0,0,0,-5.288,0,0
"82",-90.0072,35.071185,0,0,0,1.596,0,0,0
"83",-90.007255,35.07116,0,0,0,0,11.9198571428571,0,0
"84",-90.00731,35.071135,0,0,0,0,11.9198571428571,0,0
"85",-90.007355,35.071115,10.5493333333333,0,0,4.234,11.9198571428571,0,0
"86",-90.007415,35.07108,10.5493333333333,0,0,4.234,11.9198571428571,0,0
"87",-90.007485,35.07102,10.5493333333333,0,0,0,11.9198571428571,0,0
"88",-90.007515,35.070975,0,0,0,0,11.9198571428571,0,0
"89",-90.007535,35.070925,0,0,0,0,11.9198571428571,0,0
"90",-90.00755,35.07083,0,0,0,0,0,0,0
"91",-90.00755,35.07075,0,0,0,0,0,0,0
"92",-90.007525,35.070665,0,0,0,0,0,0,0
"93",-90.007475,35.070555,0,0,0,0,0,0,0
"94",-90.00744,35.070485,0,0,0,0,0,0,0
"95",-90.007405,35.07041,0,0,0,0,0,0,0
"96",-90.00734,35.07028,0,0,0,0,0,0,0
"97",-90.00729,35.070175,0,0,0,0,0,0,0
"98",-90.007245,35.070065,0,0,0,0,0,0,0
"99",-90.0072,35.06995,0,0,0,0,0,0,0
"100",-90.007165,35.06983,0,0,0,0,0,0,0
"101",-90.00712,35.06968,0,0,0,0,0,0,0
"102",-90.007085,35.06956,0,0,0,0,0,0,0
"103",-90.007065,35.06947,0,0,0,0,0,0,0
"104",-90.007045,35.069375,0,0,0,0,0,0,0
"105",-90.007015,35.06921,0,0,0,0,0,0,0
"106",-90.006995,35.06908,0,0,0,0,0,0,0
"107",-90.00698,35.06895,0,0,0,0,0,0,0
"108",-90.006965,35.06878,0,0,0,0,0,0,0
"109",-90.00696,35.068645,0,0,0,0,0,0,0
"110",-90.00696,35.068515,0,0,0,0,0,0,0
"111",-90.006965,35.06835,0,0,0,0,0,0,0
"112",-90.00697,35.06815,0,0,0,0,0,0,0
"113",-90.006975,35.067955,0,0,0,0,0,0,0
"114",-90.006985,35.067825,0,0,0,0,0,0,0
"115",-90.00699,35.067725,0,0,0,0,0,0,0
"116",-90.006995,35.067595,0,0,0,0,0,0,0
"117",-90.007005,35.06743,0,0,0,0,0,0,0
"118",-90.00701,35.0673,0,0,0,0,0,0,10.1213333333333
"119",-90.00701,35.067205,0,0,0,0,0,0,10.1213333333333
"120",-90.007015,35.067075,0,0,0,0,0,0,10.1213333333333
"121",-90.00702,35.066945,0,0,0,0,0,0,0
"122",-90.007025,35.066815,0,0,0,0,0,0,0
