x,y,BEN,CH4,H2S,TOL,VOC,XYM,XYP,id
-90.10067,35.10139,19.84,2.009,6.825,-21.481,125.39,581.469,17.099,114
-90.100695,35.10137,17.671,2.003,6.828,-37.594,106.56,587.367,2.343,115
-90.100725,35.101355,18.494,1.996,6.828,-38.616,101.405,582.918,3.227,116
-90.100765,35.101335,16.867,1.996,2.949,-38.645,95.475,592.895,4.424,117
-90.100805,35.101315,14.022,1.958,2.949,-40.757,86.779,593.448,3.797,118
-90.100835,35.1013,14.657,1.958,2.664,-44.361,83.726,594.786,4.617,119
-90.10086,35.10128,12.917,1.958,2.664,-43.028,80.363,594.492,3.95,120
-90.100885,35.101265,12.889,2.018,2.664,-41.33,81.469,583.246,2.779,121
-90.10091,35.10125,11.907,2.018,-7.131,-38.953,84.257,563.393,2.421,122
-90.10094,35.101225,15.097,2.074,-7.131,-37.959,84.257,565.459,2.792,123
-90.10099,35.101195,13.611,2.074,2.995,-40.875,72.795,558.18,1.511,124
-90.101045,35.101165,13.139,1.965,2.995,-41.365,67.286,550.619,1.869,125
-90.10109,35.101135,13.761,1.965,6.518,-39.084,70.893,550.779,1.624,126
-90.10113,35.101105,14.635,1.989,6.518,-37.692,81.668,547.579,0.93,127
-90.101175,35.101075,14.919,1.989,3.393,-36.717,101.272,564.141,1.909,128
-90.101215,35.10105,13.001,1.948,3.393,-43.16,99.79,617.899,-0.541,129
-90.10126,35.101025,10.967,1.948,-0.164,-44.897,95.298,655.634,0.659,130
-90.101305,35.100995,3.607,1.983,-0.164,-49.789,78.194,689.857,-3.509,131
-90.101345,35.10096,3.294,1.983,6.809,-49.719,73.282,679.604,-5.184,132
-90.10139,35.10092,3.405,1.962,6.809,-54.491,71.402,674.525,-2.255,133
-90.101425,35.10089,2.45,1.962,0.815,-51.113,84.146,662.207,-1.389,134
-90.101455,35.10087,1.538,1.967,0.815,-50.665,90.851,661.677,-1.913,135
-90.10149,35.10085,2.26,1.967,3.055,-48.916,87.952,644.018,-1.586,136
-90.101535,35.100825,2.064,1.967,3.055,-50.078,81.381,645.149,-0.831,137
-90.10158,35.1008,0.699,1.942,3.055,-49.136,72.641,615.844,0.46,138
-90.101625,35.10078,0.699,1.942,6.135,-49.136,60.869,615.844,0.46,139
-90.10167,35.10076,-1.082,1.989,6.135,-46.634,43.788,578.506,0.548,140
-90.10171,35.10074,-1.522,1.989,3.277,-45.567,36.287,552.419,1.71,141
-90.101745,35.10072,-1.229,1.989,3.277,-43.029,28.83,505.691,2.162,142
-90.10178,35.1007,-2.114,2.006,3.277,-43.076,21.617,470.665,2.563,143
-90.101815,35.10068,-2.085,2.006,4.702,-41.728,21.772,432.921,4.126,144
-90.10185,35.10066,-3.957,2.006,4.702,-39.744,22.104,405.27,5.085,145
-90.10189,35.10064,-3.154,1.972,4.702,-40.155,19.272,380.938,5.244,146
-90.101925,35.10062,-1.66,1.972,6.595,-39.12,16.086,352.902,5.924,147
-90.10196,35.1006,-2.222,1.972,6.595,-38.344,16.705,334.622,7.385,148
-90.101995,35.10058,-1.364,1.954,6.595,-34.438,14.028,304.978,7.587,149
-90.10204,35.100555,-1.623,1.954,1.97,-29.17,12.767,285.244,9.669,150
-90.102095,35.100525,-3.122,1.969,1.97,-26.399,10.355,244.483,11.58,151
-90.10214,35.1005,-3.592,1.969,3.684,-24.21,8.253,225.481,13.354,152
-90.102175,35.100475,-4.334,1.969,3.684,-23.546,7.125,208.951,13.439,153
-90.102205,35.10045,-4.561,1.975,3.684,-23.293,5.93,191.241,15.118,154
-90.10225,35.100425,-3.361,1.975,1.167,-19.747,5.554,180.021,13.805,155
-90.102305,35.10039,-3.156,1.946,1.167,-18.169,4.779,163.654,13.062,156
-90.10237,35.10035,-1.215,1.946,1.313,-18.45,4.115,151.346,14.934,157
-90.10243,35.10032,-2.268,1.991,1.313,-19.333,3.452,131.197,14.229,158
-90.102475,35.10029,-2.34,1.991,-0.247,-19.782,2.876,119.258,15.383,159
-90.10252,35.10026,-3.245,1.929,-0.247,-21.581,3.053,110.588,16.833,160
-90.10256,35.10024,-2.4,1.929,2.722,-21.268,2.766,98.657,16.241,161
-90.1026,35.100215,-2.931,1.929,2.722,-20.187,2.81,98.341,16.324,162
-90.10265,35.10018,-3.578,1.978,2.722,-18.562,1.925,90.076,16.947,163
-90.1027,35.10015,-6.532,1.978,6.672,-19.468,2.013,90.332,18.056,164
-90.10274,35.100125,-6.05,1.974,6.672,-17.346,1.571,96.355,17.61,165
-90.102785,35.10009,-6.05,1.974,3.238,-17.346,1.792,96.355,17.61,166
-90.10283,35.100055,-0.322,1.974,3.238,-18.081,1.659,68.832,20.612,167
-90.102875,35.10002,-0.383,1.934,3.238,-18.237,0.907,60.74,19.763,168
-90.102925,35.09998,-1.436,1.934,5.564,-16.887,-0.133,63.857,18.511,169
-90.10296,35.099935,-2.276,2.001,5.564,-21.017,0.332,55.535,19.667,170
-90.10297,35.09989,-2.503,2.001,2.166,-20.994,0.133,60.259,20.661,171
-90.102965,35.099855,-3.026,1.93,4.312,-20.437,0.509,50.264,22.895,172
-90.10297,35.09982,-3.916,2,4.312,-19.047,-0,55.066,23.899,173
-90.103,35.099795,-3.094,2,7.029,-13.473,-1.615,37.516,23.865,174
-90.103035,35.099795,-3.268,1.958,7.029,-10.463,-1.084,40.635,20.34,175
-90.103065,35.099815,-3.268,1.97,1.404,-10.463,-1.04,39.504,19.041,176
-90.10308,35.099845,-1.106,1.97,6.844,-11.491,-0.487,32.716,18.84,177
-90.10307,35.099875,0.654,1.97,6.844,-11.274,-1.151,25.188,18.448,178
-90.10304,35.0999,-0.72,1.993,1.893,-15.708,-0.752,27.656,17.614,179
-90.102995,35.09992,-0.511,1.993,14.676,-14.555,-1.173,24.002,17.738,180
-90.102955,35.09994,0.036,2.031,14.676,-12.304,-0.553,18.029,18.11,181
-90.10292,35.09996,1.234,2.031,-0.447,-11.537,-0.73,15.847,17.988,182
-90.102885,35.09998,0.662,2.031,-0.447,-11.772,-0.177,12.256,18.826,183
-90.102855,35.1,2.193,1.98,-0.447,-10.237,-1.66,11.104,17.441,184
-90.102825,35.10002,2.585,1.98,2.711,-11.295,-0.885,11.07,17.927,185
-90.10279,35.100035,2.585,1.98,2.711,-11.295,-0.221,11.07,17.927,186
-90.102755,35.10005,0.883,1.959,2.711,-15.2,-0.575,21.024,17.548,187
-90.102725,35.10007,2.478,1.959,7.574,-18.074,-0.398,23.765,19.651,188
-90.102695,35.10009,1.197,1.959,7.574,-18.686,-0.863,13.569,21.018,189
-90.102655,35.100115,0.286,1.981,7.574,-18.942,-0.155,13.169,22.006,190
-90.102615,35.10014,-0.615,1.981,-1.817,-17.044,0.022,23.293,23.146,191
-90.102565,35.10017,-1.833,1.99,-1.817,-18.815,-0.553,19.384,23.605,192
-90.1025,35.100215,-1.338,1.99,9.682,-18.662,-0.974,18.744,22.536,193
-90.102465,35.100245,-2.259,2.005,9.682,-18.172,-0.708,19.803,23.717,194
-90.102435,35.100265,-3.184,2.005,-2.945,-21.351,-0.907,19.803,22.982,195
-90.10239,35.10029,0.011,1.983,-2.945,-18.305,-1.283,16.542,23.961,196
-90.102355,35.10031,-0.726,1.983,2.428,-16.706,-1.283,14.639,23.375,197
-90.102325,35.10033,-0.726,1.983,2.428,-16.706,-1.593,14.639,23.375,198
